alert_id,farmer_id,parcel_id,channel,language,severity,message_en,sent_timestamp_utc,delivery_status,source
93866f6a-b153-4142-91b3-854f4e0f7e60,56a704fb-2ed1-4dd9-b004-eb77a9fdf8ec,7a9782f9-c912-4388-929c-0c063621d28e,SMS,English,Info,Planting season recommendations available,2025-11-10T01:21:02.554180Z,Sent,alert_service
60141a97-2ac7-416d-a3b2-916d970a749c,1d4dbcf2-0c51-49ca-a353-6fc4a28b6ca0,87c280db-fecb-4506-a2dc-801adb5d515a,SMS,English,Warning,Moderate flood risk - monitor weather updates,2025-11-04T22:21:02.554600Z,Sent,alert_service
3979a1d7-dd1f-4f03-8a80-a19210bc9520,cbd2088a-f870-4873-aff6-2dd42dbad168,4be85077-6362-4306-a790-22c95a603f64,USSD,Local,Warning,River levels rising - remain alert for updates,2025-11-17T14:21:02.554941Z,Sent,alert_service
d518eede-7545-4123-9e96-7f839896a04a,d3ab14eb-54fc-4405-b46e-96bfa5d7e490,b7a93bf5-1ae1-4f91-9c95-d38c97740544,SMS,Kiswahili,Info,Weather forecast for next 7 days available,2025-10-29T14:21:02.555259Z,Sent,alert_service
80c60b94-8fdf-4345-8c0b-eceb0b712058,53b9fffc-740c-4471-a8a8-1e24c9143baf,5c5e8f53-3c72-40ea-ad48-48bf94ceaf8e,App,Local,Warning,River levels rising - remain alert for updates,2025-11-25T06:21:02.555570Z,Sent,alert_service
02740b6a-3b12-4f88-af84-4e85c5950f5a,b95eb2c4-765d-43f2-aea0-070af0728ea8,691b9ff3-805f-4938-b8ce-db02bd7ccb4f,WhatsApp,Local,Critical,River level critically high - prepare emergency measures,2025-11-08T21:21:02.555894Z,Sent,alert_service
b871d4f3-4285-4e7c-afa0-1561f906d5d1,829b1cc7-8981-4440-b0df-9223e59a7717,6f1e6d4b-6dd2-4055-b8bd-470b821603cf,USSD,Local,Warning,River levels rising - remain alert for updates,2025-11-07T03:21:02.556206Z,Sent,alert_service
fd537233-8800-483e-884b-0e7b55f6a740,081291e4-2d1b-47cc-be1a-e1e6d5e37bf1,a7c49086-566d-4bd9-b612-0e0aedb9049a,WhatsApp,Local,Info,Weather forecast for next 7 days available,2025-11-04T11:21:02.556515Z,Sent,alert_service
b18e9f05-4434-4cda-b327-1206e565bc77,65e57644-ded1-4078-a12f-796766faf6c7,adc8a733-2877-40d0-9458-09527380afdb,WhatsApp,Kiswahili,Warning,Heavy rainfall forecast - secure drainage systems,2025-11-02T17:21:02.556824Z,Sent,alert_service
7d489143-dfac-434a-96a4-321884c2c545,b38fd7e9-aecb-42e8-8a6d-376789338509,d10c4a68-05b1-4002-9c46-798c9f39b844,App,English,Critical,River level critically high - prepare emergency measures,2025-11-08T03:21:02.557132Z,Queued,alert_service
084e819d-dd94-4608-b9c9-10c521ed6dd2,a950555f-152f-410c-aba9-be1adb627996,ffe7ea58-1617-422a-899c-7621e9d19f15,WhatsApp,Kiswahili,Critical,Flash flood warning - evacuate livestock immediately,2025-11-23T10:21:02.557436Z,Sent,alert_service
12bc922b-1ad0-4c4d-8e7a-b0ea978877fa,31fe49b4-7187-49fa-ba55-7564e29497f2,4ba3288d-0c60-463a-9b51-26accd76d6ff,SMS,Local,Info,New crop advisory for your region,2025-11-15T09:21:02.557755Z,Sent,alert_service
7b09a88c-1f7b-4eb7-8f8c-922fee7268ab,8f405f96-1991-4109-a2ab-326f4530d83b,7a794db4-4c12-4ad1-af49-835ef215e982,SMS,Kiswahili,Warning,River levels rising - remain alert for updates,2025-11-13T20:21:02.558064Z,Sent,alert_service
162115f8-cff7-477d-baa7-5047a9fbd563,c061b4ce-2504-45f3-86d6-fa61f250ea10,6500c309-3be6-483c-a237-aa608e510950,USSD,Kiswahili,Info,Planting season recommendations available,2025-11-08T17:21:02.558373Z,Sent,alert_service
14d3db59-e243-4840-aa7b-837178f28eb4,8bbf74a9-be0f-45ac-8d3e-9055a3f61ab0,75a988bd-848a-4f3a-b660-a6502687bd0b,WhatsApp,Local,Warning,Moderate flood risk - monitor weather updates,2025-11-21T03:21:02.558678Z,Queued,alert_service
75ec77ec-367a-400e-b7bd-e742a4417dca,71539993-0bd2-409c-abbc-c39a7370ec5c,4e54093c-0a91-4f66-a4cd-cbeb10ef1787,SMS,Local,Info,Weather forecast for next 7 days available,2025-11-20T09:21:02.558995Z,Sent,alert_service
226d9aa7-8d48-449a-9790-631075151e0e,cb23107d-cc06-4c3d-879c-47d76296898b,0b022721-50b2-45fe-9a0f-d158b3c87607,USSD,English,Info,New crop advisory for your region,2025-11-19T11:21:02.559302Z,Sent,alert_service
8f188c34-1d85-4bc8-afff-282bfeca04a8,b9c23cf2-8cc4-4db1-91d4-8bfab8f20f1a,96eaa0c2-fd69-44e8-a4a0-b500d4fbae1f,WhatsApp,English,Info,New crop advisory for your region,2025-11-16T15:21:02.559610Z,Queued,alert_service
9702ea57-1ce9-4df5-98cb-5fe732ae7282,191f6dbf-9179-4c5c-8fc7-d107be6a86f3,f6e080f8-355a-4edd-949e-9072ea564967,SMS,Kiswahili,Info,New crop advisory for your region,2025-11-22T17:21:02.559927Z,Sent,alert_service
c6689ddc-4883-4366-b248-28e70601ab93,e221cd8f-4ca5-47f6-a67a-512aeb1432db,19beb7bc-c5cf-4937-9924-2f685db790b2,WhatsApp,Local,Critical,Flash flood warning - evacuate livestock immediately,2025-10-31T09:21:02.560232Z,Queued,alert_service
2794dda1-6f40-4379-90b7-e45b7176db85,e39d1c3a-d468-439f-82ad-a463f1dd2637,49cd7dda-ff40-4911-a1f1-362e18ee97e8,WhatsApp,Local,Warning,Moderate flood risk - monitor weather updates,2025-11-08T11:21:02.560539Z,Sent,alert_service
2387fd15-c483-4506-82e9-57ffaad4d58e,99c56fd7-78a7-4e59-b3ba-5f5215d9a95b,5a1985dd-ad16-4aa0-b431-a45ad2d720a9,SMS,Kiswahili,Critical,Flash flood warning - evacuate livestock immediately,2025-11-12T05:21:02.560844Z,Sent,alert_service
32ca0c5f-c02c-497b-a5fa-40e027adf834,2567211c-280c-49e1-b3d7-ac6400099973,b08f15f4-c0c4-40d1-83a2-827f31e87aa0,App,Local,Info,Planting season recommendations available,2025-11-17T03:21:02.561152Z,Sent,alert_service
67fd20b5-d806-4092-8e7f-9501f403e52f,cba3a297-7f63-4628-b97e-296e004b88dd,2efb9d39-889d-48f6-b09b-f9ccf7e08283,SMS,English,Info,Weather forecast for next 7 days available,2025-11-21T00:21:02.561458Z,Sent,alert_service
f01438fc-a6be-4633-801f-a5765363b886,0fe5adfa-c822-47a3-9203-5818c8f821b8,f80bb0a2-b24e-494a-a369-80ef23250152,USSD,Kiswahili,Critical,River level critically high - prepare emergency measures,2025-11-12T23:21:02.561778Z,Sent,alert_service
a614fbf2-43a3-4c9d-8826-9f00a2b4b125,fe15cc06-6ada-4a44-9115-13d0ace1c25e,d7447cb2-ef0e-4796-97c5-effb9ffd56dd,SMS,Local,Info,Planting season recommendations available,2025-11-14T02:21:02.562083Z,Sent,alert_service
270b9844-7ef8-4ee8-aa87-7b6a6d6a736c,aa463f8f-cff1-41c0-99e5-9bd79d284bbb,65e8a5e9-094f-4a2b-a7a2-c151bc50124a,WhatsApp,Kiswahili,Warning,Moderate flood risk - monitor weather updates,2025-11-15T03:21:02.562389Z,Sent,alert_service
14c4900c-85bd-4310-8828-f8bb3a0fb6cc,16bb3daf-78a9-4c3d-b9f3-9006a9c1e123,69b75ecb-2471-4a50-b273-726566cfed1b,App,English,Warning,Moderate flood risk - monitor weather updates,2025-11-15T22:21:02.562694Z,Sent,alert_service
57350b11-45d5-4b9f-8acc-add89243cf4f,46ebf572-1004-4455-a632-ef2eaff9a41d,06539226-05c6-46f5-96cd-a183f1b57ae0,App,Kiswahili,Warning,River levels rising - remain alert for updates,2025-11-20T10:21:02.563002Z,Sent,alert_service
6a7a48a2-1923-4ef1-a110-2a71c6fdc5da,5c3d40b5-4837-43e7-8dc8-09c410fa8620,be1f8c5a-2564-41c0-b741-4072f2a72219,WhatsApp,English,Critical,Severe flooding expected in your area within 24 hours,2025-10-30T01:21:02.563310Z,Sent,alert_service
eb15700c-d26a-4339-9080-9e47f812d386,9a84684b-d0be-46cb-9dd5-c31213a69fdd,a134405b-c24f-4f35-a45d-39db383031db,App,Local,Warning,Heavy rainfall forecast - secure drainage systems,2025-10-29T18:21:02.563615Z,Sent,alert_service
e90d9e86-bfa1-4529-9c87-21fd4fd03f55,3f986583-b6c0-4ae7-afcf-0b89ca8a05ed,b3aec92d-2ad1-4921-80df-8afa47f93fd3,SMS,Local,Info,New crop advisory for your region,2025-11-19T19:21:02.563932Z,Sent,alert_service
ce4df211-2ae3-44e1-9d28-720b8fc1f955,65e57644-ded1-4078-a12f-796766faf6c7,adc8a733-2877-40d0-9458-09527380afdb,App,Kiswahili,Info,Weather forecast for next 7 days available,2025-11-15T15:21:02.564238Z,Sent,alert_service
7ff5df3a-27e8-493b-8515-fc8868576708,97ea4cf3-f9bf-4edb-91d5-afc50f5a034a,03ebc45c-b577-4016-b539-52667a3374d2,App,Kiswahili,Warning,River levels rising - remain alert for updates,2025-10-29T21:21:02.564545Z,Sent,alert_service
19984742-7d39-4a25-8b54-ed2ee1cb76c6,38f6836d-a2e1-48a1-8337-f4c392c12245,9a63f4d2-8b04-45d0-83fb-c9f14d313a51,USSD,Local,Critical,River level critically high - prepare emergency measures,2025-11-27T14:21:02.564852Z,Failed,alert_service
e650dfb6-1c30-4dbc-8e03-f18dd8a57125,57080d95-fdf8-4ba6-855d-bfc723a5ff8f,08c4b8a6-0881-47b9-bee0-648a33a65fa1,SMS,English,Critical,River level critically high - prepare emergency measures,2025-11-08T07:21:02.565187Z,Sent,alert_service
b341e6d1-ec32-4541-a549-648f21f5cb35,9e7f2b0d-87d0-4bf4-8915-46404b69f5bd,c376124a-1d9e-4f06-adb5-6b98eb86761d,App,Local,Warning,River levels rising - remain alert for updates,2025-11-07T15:21:02.565495Z,Sent,alert_service
ccee2eb2-ac80-423f-a79b-0183d10d64cc,71539993-0bd2-409c-abbc-c39a7370ec5c,4e54093c-0a91-4f66-a4cd-cbeb10ef1787,App,Local,Warning,Moderate flood risk - monitor weather updates,2025-11-13T18:21:02.565816Z,Sent,alert_service
a86e9b82-e170-4756-8db6-60d9b452f189,fcfc80fa-0d5f-4a8f-8be7-f831aa443b27,c65170dd-2605-4006-8419-6a97d4141fc6,USSD,Local,Info,New crop advisory for your region,2025-11-24T14:21:02.566126Z,Sent,alert_service
f9804b12-560f-4052-bd99-acd61310bf90,e0588a81-d639-4d30-b99d-b9c7c55cf0dd,77128f97-5f55-46bc-bf59-8e2a787a97a4,USSD,Kiswahili,Warning,Moderate flood risk - monitor weather updates,2025-11-08T22:21:02.566433Z,Sent,alert_service
6477cc31-9db5-4d91-925f-8277cb505c14,3f8578bf-679b-4b6b-bcab-c7535d6cec10,fd0c4855-62df-4378-aab6-e8a0f85d214c,WhatsApp,Kiswahili,Critical,Flash flood warning - evacuate livestock immediately,2025-11-13T02:21:02.566739Z,Sent,alert_service
c87f1333-e125-44bc-95c3-c4c6b55edf6e,8494a742-6bc0-4c98-8227-105c319deacb,04fdfe74-daa0-4f2a-a15d-984bfa409f1f,USSD,Kiswahili,Critical,Flash flood warning - evacuate livestock immediately,2025-11-22T18:21:02.567044Z,Sent,alert_service
db646ea6-120c-4059-97d6-07dc75a17135,9a96c08f-b56e-4288-9f56-c9e877135715,94a1e3c9-63a7-4d39-9536-01648e65555a,SMS,English,Info,New crop advisory for your region,2025-11-15T23:21:02.567350Z,Sent,alert_service
21eac9fb-8586-47fe-a472-cc10dad94812,5ef39de9-b557-41e9-8903-a2b67f857921,405aa3ff-d659-4ae6-b681-44c53f8bc38d,WhatsApp,Kiswahili,Critical,Severe flooding expected in your area within 24 hours,2025-11-16T22:21:02.567667Z,Sent,alert_service
5ec667e7-c3af-40c5-bb2c-7d240d70550b,38030709-f5dc-4c1c-96e0-29dc5603ba36,f5b40b96-301c-4185-afe8-5c97419241db,USSD,Kiswahili,Warning,River levels rising - remain alert for updates,2025-11-02T21:21:02.567974Z,Sent,alert_service
5450273f-6df9-4565-9aa8-ac5c88c59067,2627f1d2-1c38-4617-a632-622074ca8cee,9ad951ad-e024-4640-9c1a-c61fac6799dc,USSD,English,Info,New crop advisory for your region,2025-11-09T19:21:02.568282Z,Sent,alert_service
5f2a8f80-1d6d-4c1a-8826-a43666a22dc7,3a35ed2e-8887-4742-9753-ddaf5e35f92d,bed5e36d-8939-40d6-b421-3e6dcb6d8175,SMS,Kiswahili,Critical,Severe flooding expected in your area within 24 hours,2025-10-29T12:21:02.569187Z,Sent,alert_service
77463aa2-42d4-4966-873b-7838db0578f3,31fe49b4-7187-49fa-ba55-7564e29497f2,4ba3288d-0c60-463a-9b51-26accd76d6ff,SMS,Local,Info,Planting season recommendations available,2025-11-23T01:21:02.569591Z,Failed,alert_service
84ccd6fc-b546-4915-8d8e-f9217ee55494,38c27ba0-f195-4997-b1f4-97f37084be25,14b31c46-8210-4ab0-b177-fc7b5ddd59dc,USSD,Kiswahili,Warning,Moderate flood risk - monitor weather updates,2025-11-10T04:21:02.569933Z,Sent,alert_service
571b47d4-9650-4614-9b85-81eb9fc1a1c2,4a4e4d46-9b1d-45b7-8ecd-49ee1e5eb3b8,6714c5ed-044d-4f55-b2dc-50bfebdc227c,WhatsApp,Local,Info,New crop advisory for your region,2025-10-29T11:21:02.570281Z,Sent,alert_service
f21d23fd-e9af-424e-b735-9c83c07a0998,1e5612d9-1f9d-47e9-a7dc-854c5f6d4675,87fb62a0-fad5-4046-92fb-f84ddf03dea7,App,Local,Warning,Heavy rainfall forecast - secure drainage systems,2025-11-08T08:21:02.570791Z,Sent,alert_service
7f16e45f-6a6e-41fe-b8d0-76bdf352f8d5,4446ae55-941b-4f76-b1ee-f903f081f578,da0fa0e3-9972-48d0-bf3f-0168837dfa36,SMS,English,Warning,Moderate flood risk - monitor weather updates,2025-10-30T19:21:02.571203Z,Sent,alert_service
1e3ff9a7-2836-4f07-a307-d2531e0a6458,7e106651-3c3b-4fca-a464-072194b15416,3d74a1ab-6768-4daa-bfbb-c28060431d24,SMS,Local,Warning,Moderate flood risk - monitor weather updates,2025-11-15T11:21:02.571562Z,Sent,alert_service
b3d0d6f1-03f4-4e8d-b98e-409f251e8b61,8f5eb4a4-f092-4bbd-8a40-05021606294f,40492fea-5af1-42f3-9559-70a9f32a164d,USSD,Kiswahili,Info,New crop advisory for your region,2025-11-08T21:21:02.571901Z,Sent,alert_service
11bbc228-b02a-4df6-972f-65ab1b049ab0,3615d731-082c-4acd-8ee0-060dd092532a,bdc24dbc-29f0-4106-9588-69b8fba2abc3,USSD,Local,Warning,Heavy rainfall forecast - secure drainage systems,2025-11-19T05:21:02.572226Z,Failed,alert_service
e181feab-49b0-44e1-a0f7-1ba63828cda0,37aac94c-6232-45f0-886f-fc34c7864538,ee682752-c3a8-4dfb-b7f8-d6ffeda142cd,USSD,Local,Info,Planting season recommendations available,2025-11-01T13:21:02.572566Z,Sent,alert_service
5d80ee41-fc51-408e-8b6a-91218e612082,e400d1c5-c5d4-45ab-96a0-3008df1b9645,2b84e5db-68ef-46e5-b07c-8020a261b836,SMS,Local,Critical,River level critically high - prepare emergency measures,2025-11-04T20:21:02.572876Z,Sent,alert_service
0bb23acb-4d0d-43f0-904b-5ec85f0ff290,fae56052-2e52-499a-8c12-29e31eb3947b,94dad151-dce6-4db4-9343-6140294a2547,WhatsApp,Local,Warning,Moderate flood risk - monitor weather updates,2025-11-10T11:21:02.573186Z,Sent,alert_service
6720b0c6-1872-48d9-97b2-ceccb6e7c6ba,5e0e6da8-308f-46a1-a8cf-234a9edf0216,1578fec7-09e4-4d85-83ad-9820703f6624,WhatsApp,English,Critical,Flash flood warning - evacuate livestock immediately,2025-11-15T18:21:02.573499Z,Sent,alert_service
f0b22ffe-ae03-44f8-bd4c-6a254619fd8b,99ebeb34-05a1-4496-bbdf-09cef0e8d3ef,d8ffb937-66a9-4532-a2d3-9d37e3b73dd4,WhatsApp,Kiswahili,Warning,Heavy rainfall forecast - secure drainage systems,2025-10-30T13:21:02.573810Z,Queued,alert_service
04870172-2664-44dd-8e15-14311af35d41,4f790d7c-5486-44ab-8d13-78300483a70f,aec25aeb-5456-4dbb-8b34-8a0258e408ed,SMS,Local,Info,Planting season recommendations available,2025-11-04T19:21:02.574120Z,Sent,alert_service
2574fc37-9ba1-405d-8d48-ec6ba3c5792c,c0087d66-524d-41c0-a12c-89b0a437d4db,274a93fd-a87d-4b56-b249-a5914b16fbc8,WhatsApp,Local,Info,New crop advisory for your region,2025-11-23T10:21:02.574441Z,Sent,alert_service
dd7bc93d-4be5-49c6-a149-b26ddc3f8038,48c22e0c-d46a-4956-a076-80bf41089496,b6b25b1f-9489-4660-af17-73bb75847e9d,WhatsApp,English,Warning,River levels rising - remain alert for updates,2025-11-14T20:21:02.574748Z,Sent,alert_service
19afb1c3-6610-4b36-a80f-5bc029a40f73,bba19e22-2184-4a12-b68e-7d7c9e8dfb86,8791a26b-8f47-4226-a57a-4938312b9b9a,App,Local,Critical,Severe flooding expected in your area within 24 hours,2025-11-08T08:21:02.575057Z,Sent,alert_service
16781730-4d68-4d7a-aeb5-abe415a85569,4d2141cc-9523-4677-a906-c64515807948,b4964c75-1bb3-4447-836a-17fc70e1faed,SMS,English,Info,New crop advisory for your region,2025-11-14T11:21:02.575364Z,Sent,alert_service
caff18e7-1a9d-4e00-bbd6-837d666d24be,c209f9fe-1652-4bde-b6cb-ec2523e0ff3a,1977385a-be30-429a-9133-1a8674b8080f,USSD,Local,Critical,Flash flood warning - evacuate livestock immediately,2025-11-06T22:21:02.575671Z,Sent,alert_service
17f37cef-6c62-4471-bcaf-2a4550739432,dc32da61-405d-4722-a90e-5cb823a9e225,2f798d42-17c9-4b8a-b60a-232061403a6f,App,Kiswahili,Critical,Flash flood warning - evacuate livestock immediately,2025-11-25T15:21:02.575977Z,Sent,alert_service
f8f70c45-eb67-4215-a1f9-09618235c974,5bb969f8-a2c9-4191-b95f-dd33fa0c6ffa,f9887511-fd80-4b47-95f3-bcb32447923e,SMS,Kiswahili,Critical,Flash flood warning - evacuate livestock immediately,2025-11-13T12:21:02.576297Z,Sent,alert_service
391ad6b7-c32c-4327-97a6-4faa6cf81bd4,634e70ed-89b0-4f5a-bbc8-daa601d307e1,7e05b53e-1ef3-4ada-97a1-593fc25c7492,SMS,Kiswahili,Info,Planting season recommendations available,2025-11-04T01:21:02.576604Z,Failed,alert_service
b2dac6d6-1fc5-4eb3-a740-14b2bf2a2fb8,20cd88fb-bbce-4497-bfa6-3a531e62753d,528a760e-03d6-4e0f-a7d6-1357f37e95e8,App,English,Info,New crop advisory for your region,2025-10-29T15:21:02.576910Z,Sent,alert_service
3c8eadd7-f65a-4323-bfe9-2c86f80bad05,e59106bc-4329-4c2b-a2d1-5019dcf985c0,1562e4a3-83f0-4662-aff6-2fb06a692713,SMS,English,Info,Weather forecast for next 7 days available,2025-11-02T09:21:02.577217Z,Sent,alert_service
38270eb6-a465-4923-99b2-24ef677eb8c6,bd53f00c-4da4-4b7c-8174-888278154dad,a983b376-4d10-4bc8-88a5-81a7dd1ef25e,USSD,Local,Info,New crop advisory for your region,2025-11-03T23:21:02.577525Z,Sent,alert_service
9e60c8ba-f14f-43f3-9788-70bc2ac4d1a5,983f3df8-4e3e-4fe7-8aba-8cb9bac2d512,86647376-d683-4237-95e5-473aba9f0756,App,Kiswahili,Warning,Heavy rainfall forecast - secure drainage systems,2025-11-20T10:21:02.577831Z,Sent,alert_service
b06ebfe6-f971-48b6-985e-f13d690d3569,92f4cd58-84cc-4f06-bd03-bd87532fb845,b9131f0c-2470-48aa-b4ef-adb9136b5e66,USSD,Local,Critical,Severe flooding expected in your area within 24 hours,2025-11-06T21:21:02.578135Z,Sent,alert_service
c9333d5b-54f9-4001-bb4e-206adf498993,c804c760-4614-4f5a-8c04-0d96441e07b6,73750fd0-51c3-4741-839f-2c03f27b2533,WhatsApp,English,Warning,Moderate flood risk - monitor weather updates,2025-11-27T08:21:02.578452Z,Failed,alert_service
d891115b-a592-44f6-8896-5916fb9d185d,191f6dbf-9179-4c5c-8fc7-d107be6a86f3,f6e080f8-355a-4edd-949e-9072ea564967,App,Kiswahili,Warning,River levels rising - remain alert for updates,2025-11-11T01:21:02.578758Z,Sent,alert_service
2bbbff74-718b-4643-b60d-aea0f1c20980,6f6c46fb-9c36-4a0e-8823-7be3f231d9c3,48d2340f-bb2c-4480-b734-0a0ef45f2d6a,WhatsApp,Local,Critical,Flash flood warning - evacuate livestock immediately,2025-11-01T09:21:02.579064Z,Failed,alert_service
09ff9e2d-a572-4f74-b9e6-04b2e63f194d,a1066520-0432-453e-9a6a-3d05dd3a2eab,5a1fd555-f14b-40ba-92a4-2f883a441d30,App,English,Critical,River level critically high - prepare emergency measures,2025-11-19T20:21:02.579370Z,Failed,alert_service
eb3b9732-d0f4-4726-a23f-9535e48250c8,abdefa06-27c0-41f4-89f4-4b67d463eb4f,4a4ec217-e1b8-4784-92dd-e9fc3406b888,WhatsApp,Local,Warning,Heavy rainfall forecast - secure drainage systems,2025-11-13T16:21:02.579674Z,Sent,alert_service
85cbdcb3-ede7-428b-978d-5ed1c13ef214,97ea4cf3-f9bf-4edb-91d5-afc50f5a034a,03ebc45c-b577-4016-b539-52667a3374d2,SMS,Kiswahili,Warning,River levels rising - remain alert for updates,2025-11-11T08:21:02.579981Z,Sent,alert_service
0f489e66-36d2-4f22-97f0-6e171866ee0e,0608cad5-ecb9-47e0-bb8e-bbd800374efd,61d973a4-6352-4f10-bd4f-b73c78ea4cce,SMS,English,Critical,Flash flood warning - evacuate livestock immediately,2025-10-29T07:21:02.580297Z,Sent,alert_service
d05e1a33-577b-4480-b151-e5272de7e7be,3d54cd18-93f4-448d-b219-c0cac0a58e76,9a6ebe1f-9c32-4940-a5e6-99b710d59f77,SMS,Kiswahili,Warning,Moderate flood risk - monitor weather updates,2025-11-08T12:21:02.580604Z,Sent,alert_service
05f48fd1-d97b-47cd-8c84-65a012cf0eba,a451fa46-ceeb-47c8-8b69-f029f95523f0,31fac670-6cd2-47a7-ad9d-4e10c4989150,SMS,Local,Critical,Flash flood warning - evacuate livestock immediately,2025-10-31T03:21:02.580910Z,Sent,alert_service
aec3da18-ac56-4b62-867b-2801b7f3100e,55b89400-deb3-4255-a144-57a14081b4d2,ee112e6e-8e62-425d-9b0f-d5ddd0480983,SMS,Kiswahili,Info,Planting season recommendations available,2025-11-25T05:21:02.581218Z,Sent,alert_service
cdcd3eab-e598-45c3-b6f2-fa71178a36f3,1112accb-c137-4114-9816-5fefbbd3b80f,faf2219c-de8e-4a68-b1f1-31933adaac1e,WhatsApp,English,Warning,Heavy rainfall forecast - secure drainage systems,2025-10-29T01:21:02.581521Z,Sent,alert_service
20d1faf8-ab68-404a-90cb-dfeb9b487f8a,ce53956f-f3e2-4485-bb96-de1097337e66,fc7b95c4-f1a4-40a8-ac74-d3d4274e1643,App,Kiswahili,Warning,River levels rising - remain alert for updates,2025-11-21T05:21:02.581827Z,Sent,alert_service
d83f5aea-44f0-4737-bfe5-9faa84bc71c6,540697eb-8d10-4e37-8122-95eebf3915a9,8cbb8dbf-f221-4801-ba92-2e2c39a8d13d,SMS,English,Warning,River levels rising - remain alert for updates,2025-11-08T15:21:02.582160Z,Sent,alert_service
5bac3ca0-7f17-4071-a9fa-ea69ad72b22d,b4d55c32-3f97-49e0-bd34-4dc4e87b5905,fd8c28da-ecd1-4714-a4fa-38e6c45bd534,USSD,Local,Warning,Heavy rainfall forecast - secure drainage systems,2025-10-30T18:21:02.582479Z,Sent,alert_service
7b66c336-14f2-4111-8945-e6000362c1ff,6b324cbe-d772-49e9-aba2-569aa170069b,b91b0b6d-b8e1-444f-a2a7-5cbccf6bc05a,SMS,Kiswahili,Critical,Flash flood warning - evacuate livestock immediately,2025-11-09T05:21:02.582787Z,Sent,alert_service
d96eedbb-98a4-44c1-89d1-bf8ca9a9befb,9f8d1590-77c1-44d5-aad0-d3bd8fbdbee3,344d9a4f-526f-4ba3-a0ac-c557b4c3b897,SMS,Local,Warning,Moderate flood risk - monitor weather updates,2025-11-25T00:21:02.583092Z,Failed,alert_service
bf6c06f1-f135-4c52-b276-f542e7576c55,d151f570-1798-422d-bbab-39a5c3439bb0,a302d1dd-919e-4ec7-8333-b9f20efc2bce,WhatsApp,Kiswahili,Warning,River levels rising - remain alert for updates,2025-11-12T06:21:02.583397Z,Sent,alert_service
d990b083-1ce8-4794-9946-80efd0692226,a47f9a12-77a4-428f-b17b-369b9bc3b44c,03f520e4-4dbb-45f5-848a-78cc2dd44418,WhatsApp,Kiswahili,Info,New crop advisory for your region,2025-11-04T05:21:02.583703Z,Failed,alert_service
